,NomeParlamentar,Partido,datEmissao,ValorLiquido,TipoDespesa
537,Beto Pereira,PSDB,01/02/21,"6001,799999999999",COMBUSTÍVEIS E LUBRIFICANTES.
538,Bia Cavassa,PSDB,01/02/21,"2106,53",COMBUSTÍVEIS E LUBRIFICANTES.
539,Rose Modesto,PSDB,01/02/21,"3155,91",COMBUSTÍVEIS E LUBRIFICANTES.
540,Beto Pereira,PSDB,01/02/21,"13310,0",DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.
541,Bia Cavassa,PSDB,01/02/21,"14815,0",DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.
542,Rose Modesto,PSDB,01/02/21,"5500,0",DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.
543,Beto Pereira,PSDB,01/02/21,"117,0","HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL."
544,Beto Pereira,PSDB,01/02/21,"9500,0",LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES
545,Rose Modesto,PSDB,01/02/21,"5000,0",LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES
546,Beto Pereira,PSDB,01/02/21,"3775,0",MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR
547,Bia Cavassa,PSDB,01/02/21,"428,04999999999995",MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR
548,Rose Modesto,PSDB,01/02/21,"6985,73",MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR
549,Rose Modesto,PSDB,01/02/21,"10345,31",PASSAGEM AÉREA - REEMBOLSO
550,Beto Pereira,PSDB,01/02/21,"-1051,65",PASSAGEM AÉREA - SIGEPA
551,Beto Pereira,PSDB,01/02/21,"136,66",TELEFONIA
552,Bia Cavassa,PSDB,01/02/21,"176,41",TELEFONIA
553,Beto Pereira,PSDB,01/03/19,"5930,0",COMBUSTÍVEIS E LUBRIFICANTES.
554,Bia Cavassa,PSDB,01/03/19,"2858,95",COMBUSTÍVEIS E LUBRIFICANTES.
555,Rose Modesto,PSDB,01/03/19,"1201,52",COMBUSTÍVEIS E LUBRIFICANTES.
556,Beto Pereira,PSDB,01/03/19,"6000,0","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS."
557,Beto Pereira,PSDB,01/03/19,"10290,0",DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.
